id,import_string,title,description,example,category
21,hookah_lounges,Hookah Lounges,locations relating to hookah lounges,Hookah lounges,Non-food and drink location
22,landmarks_and_monuments,Landmarks and Monuments,locations relating to specific architectural or natural constructs that are iconic,"The statue of liberty, the congress street bridge",Non-food and drink location
23,arcades_and_amusement_park,Arcades and Amusement parks,"Locations relating to engaging in fun, carnival, or video game related activities","Pinballz (ATX), Six Flags",Non-food and drink location
24,outdoor_lifestyle,Outdoor and Adventure,"locations related to the outdoor lifestyle, and natural wonders","Hiking trails, kayaking, beaches",Non-food and drink location
25,sports_and_recreation,Sports and Recreation,locations related to the playing of sports or other athletic endeavours,"tennis courts, public parks, golf courses, basketball courts",Non-food and drink location
26,hip_shopping,Hip Shopping,Locations related to shopping for cool or interesting things and clothing (as opposed to shopping at big chains or for everyday items),"clothing, thrift stores,vintage and antiques, bookstores",Non-food and drink location
27,shopping_for_gifts_novelties_and_collectibles,"Gifts, Novelties, and Collectibles.","shopping for knick knacks, art, collectables, souvenirs etc ",Uncommon Object (ATX),Non-food and drink location
28,yoga_and_spas,Yoga and Spas,"Location associated with relaxation, massage, Yoga, and others of that Ilk. Include both businesses and services, we well as general locations","Yoga facilities, spas, massage parlours, acupuncture",Non-food and drink location
29,karaoke,Karaoke,"Locations relating to karaoke","karaoke bars, facilities that have karaoke",Non-food and drink location
30,divebars,Dive Bars,"Bars that are low key, rough around the edges, and relaxed.",The Jackelope (ATX),Food and Drink location
31,upscale_bars,Upscale Bars,"Bars that cater to a more chic and affluent crowd, often serving top shelf liquor with a stylish decor","Wine bars, chic nightclubs, fancy lounges",Food and Drink location
32,sports_bars,Sports Bars,Bars that focus on sports and sports fandom,,Food and Drink location
33,nightclubs_and_dance_clubs,Night Clubs,"Bars and Nightclubs that cater to EDM, hip hop, and other forms of dance music and culture",Barcelona (ATX),Food and Drink location
34,pizza_places,Pizza,restaurants that specialize in pizza,,Food and Drink location
35,italian_food,Italian Food,"Restaurants that specialize in italian food",,Food and Drink location
36,mexican_food,Mexican Food,"Restaurants that specialize in serving mexican food or tex mex",,Food and Drink location
37,asian_food,Asian Food,"restaurants that specialize in Asian food, including indian, chinese, Korean, Thai etc",,Food and Drink location
38,icecream_juice_bars_and_smoothies,"Ice Cream, Juice Bars and Smoothies","Restaurants and food trucks/carts that serve ice cream and smoothies and other sweet drinks and food",,"Food and Drink location"
39,food_trucks,Food Trucks,"Food trucks, carts, and other mobile food establishments",,Food and Drink location
40,sushi,"Sushi","Restaurants that serve Sushi",,Food and Drink location
41,coffee_shops,"Coffee Shops","Places that specialize in coffee",,Food and Drink location
42,delis,"Delis","Places that serve sandwiches, deli meats, bagles, and the like","New World Deli",Food and Drink location
43,burgers,"Burgers","Places that specialize in selling burgers and grilled/bbq meat","Hopdoddy, Shake Shack",Food and Drink location
44,seafood,"Seafood","Places that specialize in Seafood and fish","ex: Perlas, Clark's Oyster Bar",Food and Drink location
45,local_flavor_and_oddities,"Local Flavor","Interesting Local favorites that do not easily fall into more common categories, including small scale local landmarks, and other bits of character that make a city unique","Fortune tellers, the I love you so much wall, zany food trucks","Non-food and drink location"
